movie,director,m_year,critic,crit_org,crit_cn,nm_dir,director_birth,language
White Material,Claire Denis,2009,Carmen Gray,Berlin Critics’ Week,Germany,1,1946,French
Even If She Had Been a Criminal...,Jean-Gabriel Périot,2006,Carmen Gray,Berlin Critics’ Week,Germany,1,1974,
Spring Breakers,Harmony Korine,2012,Carmen Gray,Berlin Critics’ Week,Germany,1,1973,English
In the Mood for Love,Wong Kar-wai,2000,Carmen Gray,Berlin Critics’ Week,Germany,1,1956,
Stranger by the Lake,Alain Guiraudie,2013,Carmen Gray,Berlin Critics’ Week,Germany,1,1964,French
Colossal Youth,Pedro Costa,2006,Carmen Gray,Berlin Critics’ Week,Germany,1,1958,Kabuverdianu
Story of My Death,Albert Serra,2013,Carmen Gray,Berlin Critics’ Week,Germany,1,1975,English
Aurora,Cristi Puiu,2010,Carmen Gray,Berlin Critics’ Week,Germany,1,1967,English
Dogville,Lars von Trier,2003,Tim Grierson,Screen International,US,1,1956,English
Zodiac,David Fincher,2007,Tim Grierson,Screen International,US,1,1962,English
There Will Be Blood,Paul Thomas Anderson,2007,Tim Grierson,Screen International,US,1,1970,English
Inside Llewyn Davis,Joel Coen,2013,Tim Grierson,Screen International,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Tim Grierson,Screen International,US,2,1957,English
Yi Yi: A One and a Two,Edward Yang,2000,Tim Grierson,Screen International,US,1,1947,Mandarin
The Turin Horse,Béla Tarr,2011,Tim Grierson,Screen International,US,2,1955,Hungarian
The Turin Horse,Ágnes Hranitzky,2011,Tim Grierson,Screen International,US,2,1945,Hungarian
The Master,Paul Thomas Anderson,2012,Tim Grierson,Screen International,US,1,1970,English
It's Such a Beautiful Day,Don Hertzfeldt,2012,Tim Grierson,Screen International,US,1,1976,English
Boyhood,Richard Linklater,2014,Tim Grierson,Screen International,US,1,1960,English
Shutter Island,Martin Scorsese,2010,Tim Grierson,Screen International,US,1,1942,English
Saraband,Ingmar Bergman,2003,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1918,Swedish
Memento,Christopher Nolan,2000,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1970,English
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1960,English
The Return,Andrey Zvyagintsev,2003,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1964,English
Amour,Michael Haneke,2012,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1942,French
Mulholland Drive,David Lynch,2001,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1946,English
Import Export,Ulrich Seidl,2007,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1952,German
Son of Saul,László Nemes,2015,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1977,Hungarian
Kill Bill: Vol. 1,Quentin Tarantino,2003,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,1963,English
The Revenant,Alejandro González Iñárritu,2015,Jean-Philippe Guerand,L'Avant-Scène Cinéma,France,1,,English
Tropical Malady,Apichatpong Weerasethakul,2004,Antoine Guillot,France Culture,France,1,1970,Thai
Mulholland Drive,David Lynch,2001,Antoine Guillot,France Culture,France,1,1946,English
The Turin Horse,Béla Tarr,2011,Antoine Guillot,France Culture,France,2,1955,Hungarian
The Turin Horse,Ágnes Hranitzky,2011,Antoine Guillot,France Culture,France,2,1945,Hungarian
Tie Xi Qu: West of the Tracks,Wang Bing,2002,Antoine Guillot,France Culture,France,1,1967,Mandarin
Le filmeur,Alain Cavalier,2005,Antoine Guillot,France Culture,France,1,1931,French
Holy Motors,Leos Carax,2012,Antoine Guillot,France Culture,France,1,1960,French
Elephant,Gus Van Sant,2003,Antoine Guillot,France Culture,France,1,1952,English
A Touch of Sin,Jia Zhangke,2013,Antoine Guillot,France Culture,France,1,,Mandarin
Pan's Labyrinth,Guillermo Del Toro,2006,Antoine Guillot,France Culture,France,1,1964,Spanish
Spirited Away,Hayao Miyazaki,2001,Antoine Guillot,France Culture,France,1,1941,Japanese
The New World,Terrence Malick,2005,Tom Gunning,University of Chicago,US,1,1943,English
Capitalism: Child Labor,Ken Jacobs,2007,Tom Gunning,University of Chicago,US,1,1933,
Psalm III: 'Night of the Meek',Phil Solomon,2002,Tom Gunning,University of Chicago,US,1,,
Goodbye to Language,Jean-Luc Godard,2014,Tom Gunning,University of Chicago,US,1,1930,French
Daylight Moon,Lewis Klahr,2002,Tom Gunning,University of Chicago,US,1,,
Oldboy,Park Chan-wook,2003,Tom Gunning,University of Chicago,US,1,1963,Korean
A Commuter’s Life (What a Life!),Ernie Gehr,2014,Tom Gunning,University of Chicago,US,1,1943,English
The Fourth Watch,Janie Geiser,2000,Tom Gunning,University of Chicago,US,1,1957,English
Our Daily Bread,Nikolaus Geyrhalter,2005,Tom Gunning,University of Chicago,US,1,1972,English
The World,Jia Zhangke,2004,Tom Gunning,University of Chicago,US,1,,English
Ankhon Dekhi,Rajat Kapoor,2013,Shubhra Gupta,The Indian Express,India,1,1961,Hindi
Court,Chaitanya Tamhane,2014,Shubhra Gupta,The Indian Express,India,1,1987,English
"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,2010,Shubhra Gupta,The Indian Express,India,1,1969,Hindi
Monsoon Wedding,Mira Nair,2001,Shubhra Gupta,The Indian Express,India,1,1957,Hindi
Dev D,Anurag Kashyap,2009,Shubhra Gupta,The Indian Express,India,1,1972,Hindi
Paan Singh Tomar,Tigmanshu Dhulia,2012,Shubhra Gupta,The Indian Express,India,1,1967,Hindi
Udaan,Vikramaditya Motwane,2010,Shubhra Gupta,The Indian Express,India,1,1976,Hindi
Hazaaron Khwaishein Aisi,Sudhir Mishra,2003,Shubhra Gupta,The Indian Express,India,1,1959,Hindi
Maqbool,Vishal Bhardwaj,2003,Shubhra Gupta,The Indian Express,India,1,1965,Hindi
Lagaan: Once Upon a Time in India,Ashutosh Gowariker,2001,Shubhra Gupta,The Indian Express,India,1,1964,Hindi
There Will Be Blood,Paul Thomas Anderson,2007,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1970,English
Mulholland Drive,David Lynch,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1946,English
AI: Artificial Intelligence,Steven Spielberg,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1946,English
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1960,English
Spirited Away,Hayao Miyazaki,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1941,Japanese
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1959,English
In the Mood for Love,Wong Kar-wai,2000,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1956,
The Lady and the Duke,Éric Rohmer,2001,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1920,English
Yi Yi: A One and a Two,Edward Yang,2000,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1947,Mandarin
Silent Souls,Aleksey Fedorchenko,2010,Hauvick Habechian,An-Nahar Newspaper,Lebanon,1,1966,Russian
"Synecdoche, New York",Charlie Kaufman,2008,Angie Han,Slashfilm,US,1,1958,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Angie Han,Slashfilm,US,1,1963,English
Boyhood,Richard Linklater,2014,Angie Han,Slashfilm,US,1,1960,English
Mad Max: Fury Road,George Miller,2015,Angie Han,Slashfilm,US,1,1945,English
Me and You and Everyone We Know,Miranda July,2005,Angie Han,Slashfilm,US,1,1974,English
Gone Girl,David Fincher,2014,Angie Han,Slashfilm,US,1,1962,English
Inside Llewyn Davis,Joel Coen,2013,Angie Han,Slashfilm,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Angie Han,Slashfilm,US,2,1957,English
Only Lovers Left Alive,Jim Jarmusch,2013,Angie Han,Slashfilm,US,1,1953,English
Selma,Ava DuVernay,2014,Angie Han,Slashfilm,US,1,1972,English
Pain & Gain,Michael Bay,2013,Angie Han,Slashfilm,US,1,1965,English
Inside Out,Pete Docter,2015,Aisha Harris,Slate,US,1,1968,English
When the Levees Broke: A Requiem in Four Acts,Spike Lee,2006,Aisha Harris,Slate,US,1,1957,English
Stories We Tell,Sarah Polley,2012,Aisha Harris,Slate,US,1,1979,English
Her,Spike Jonze,2013,Aisha Harris,Slate,US,1,1969,English
Children of Men,Alfonso Cuarón,2006,Aisha Harris,Slate,US,1,1961,Russian
Before Midnight,Richard Linklater,2013,Aisha Harris,Slate,US,1,1960,English
The Look of Silence,Joshua Oppenheimer,2014,Aisha Harris,Slate,US,1,1974,Indonesian
Fruitvale Station,Ryan Coogler,2013,Aisha Harris,Slate,US,1,1986,English
Love & Basketball,Gina Prince-Bythewood,2000,Aisha Harris,Slate,US,1,June 10,English
Brick,Rian Johnson,2005,Aisha Harris,Slate,US,1,1973,English
Stray Dogs,Tsai Ming-liang,2013,Tina Hassannia,Freelance film critic,Canada,1,1957,Japanese
A Separation,Asghar Farhadi,2011,Tina Hassannia,Freelance film critic,Canada,1,1972,Persian
Margaret,Kenneth Lonergan,2011,Tina Hassannia,Freelance film critic,Canada,1,1962,English
Ten,Abbas Kiarostami,2002,Tina Hassannia,Freelance film critic,Canada,1,1940,Japanese
35 Shots of Rum,Claire Denis,2008,Tina Hassannia,Freelance film critic,Canada,1,1946,
Closed Curtain,Jafar Panahi,2013,Tina Hassannia,Freelance film critic,Canada,1,1960,Persian
Tangerine,Sean Baker,2015,Tina Hassannia,Freelance film critic,Canada,1,February 26,English
The Royal Tenenbaums,Wes Anderson,2001,Tina Hassannia,Freelance film critic,Canada,1,1969,English
Spring Breakers,Harmony Korine,2012,Tina Hassannia,Freelance film critic,Canada,1,1973,English
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Tina Hassannia,Freelance film critic,Canada,1,1970,Thai
Notre musique,Jean-Luc Godard,2004,Shiguehiko Hasumi,University of Tokyo,Japan,1,1930,French
Triple Agent,Éric Rohmer,2004,Shiguehiko Hasumi,University of Tokyo,Japan,1,1920,French
The Assassin,Hou Hsiao-hsien,2015,Shiguehiko Hasumi,University of Tokyo,Japan,1,1947,English
Gran Torino,Clint Eastwood,2008,Shiguehiko Hasumi,University of Tokyo,Japan,1,1930,English
Horse Money,Pedro Costa,2014,Shiguehiko Hasumi,University of Tokyo,Japan,1,1958,Portuguese
Fantastic Mr Fox,Wes Anderson,2012,Shiguehiko Hasumi,University of Tokyo,Japan,1,1969,English
Holy Motors,Leos Carax,2012,Shiguehiko Hasumi,University of Tokyo,Japan,1,1960,French
Death Proof – Grindhouse,Quentin Tarantino,2007,Shiguehiko Hasumi,University of Tokyo,Japan,1,1963,
Déjà Vu,Tony Scott,2006,Shiguehiko Hasumi,University of Tokyo,Japan,1,1944,English
Seventh Code,Kiyoshi Kurosawa,2013,Shiguehiko Hasumi,University of Tokyo,Japan,1,1955,Japanese
Waiting for Happiness,Abderrahmane Sissako,2002,Katarina Hedrén,Freelance film critic,South Africa,1,1961,French
The White Ribbon,Michael Haneke,2009,Katarina Hedrén,Freelance film critic,South Africa,1,1942,German
Dreams of a Life,Carol Morley,2011,Katarina Hedrén,Freelance film critic,South Africa,1,1966,English
Tey,Alain Gomis,2012,Katarina Hedrén,Freelance film critic,South Africa,1,1972,French
The Gleaners and I,Agnès Varda,2000,Katarina Hedrén,Freelance film critic,South Africa,1,1928,
Lumumba,Raoul Peck,2000,Katarina Hedrén,Freelance film critic,South Africa,1,September 9,French
Hunger,Steve McQueen,2008,Katarina Hedrén,Freelance film critic,South Africa,1,1969,English
Fruitvale Station,Ryan Coogler,2013,Katarina Hedrén,Freelance film critic,South Africa,1,1986,English
"Eat, Sleep, Die",Gabriela Pichler,2012,Katarina Hedrén,Freelance film critic,South Africa,1,1980,Swedish
Middle of Nowhere,Ava DuVernay,2012,Katarina Hedrén,Freelance film critic,South Africa,1,1972,English
A Serious Man,Joel Coen,2009,Jordan Hoffman,Freelance film critic,US,2,1954,English
A Serious Man,Ethan Coen,2009,Jordan Hoffman,Freelance film critic,US,2,1957,English
Inside Llewyn Davis,Joel Coen,2013,Jordan Hoffman,Freelance film critic,US,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Jordan Hoffman,Freelance film critic,US,2,1957,English
Star Trek,J. J. Abrams,2009,Jordan Hoffman,Freelance film critic,US,1,,English
Waking Life,Richard Linklater,2001,Jordan Hoffman,Freelance film critic,US,1,1960,English
Ida,Paweł Pawlikowski,2013,Jordan Hoffman,Freelance film critic,US,1,1957,Polish
Enter the Void,Gaspar Noé,2009,Jordan Hoffman,Freelance film critic,US,1,1963,English
There Will Be Blood,Paul Thomas Anderson,2007,Jordan Hoffman,Freelance film critic,US,1,1970,English
Of Gods and Men,Xavier Beauvois,2010,Jordan Hoffman,Freelance film critic,US,1,1967,English
Into Great Silence,Philip Gröning,2005,Jordan Hoffman,Freelance film critic,US,1,1959,French
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,2006,Jordan Hoffman,Freelance film critic,US,1,1956,English
The Social Network,David Fincher,2010,Michael Hogan,Vanity Fair,US,1,1962,English
Boyhood,Richard Linklater,2014,Michael Hogan,Vanity Fair,US,1,1960,English
The Descendants,Alexander Payne,2011,Michael Hogan,Vanity Fair,US,1,1961,English
Beasts of the Southern Wild,Benh Zeitlin,2012,Michael Hogan,Vanity Fair,US,1,1982,English
No Country For Old Men,Joel Coen,2007,Michael Hogan,Vanity Fair,US,2,1954,English
No Country For Old Men,Ethan Coen,2007,Michael Hogan,Vanity Fair,US,2,1957,English
Idiocracy,Mike Judge,2006,Michael Hogan,Vanity Fair,US,1,1962,English
Bridesmaids,Paul Feig,2011,Michael Hogan,Vanity Fair,US,1,1962,English
Spring Breakers,Harmony Korine,2012,Michael Hogan,Vanity Fair,US,1,1973,English
American Psycho,Mary Harron,2000,Michael Hogan,Vanity Fair,US,1,1953,English
The Dark Knight,Christopher Nolan,2008,Michael Hogan,Vanity Fair,US,1,1970,English
Children of Men,Alfonso Cuarón,2006,Ann Hornaday,The Washington Post,US,1,1961,Russian
There Will Be Blood,Paul Thomas Anderson,2007,Ann Hornaday,The Washington Post,US,1,1970,English
The Hurt Locker,Kathryn Bigelow,2008,Ann Hornaday,The Washington Post,US,1,1951,English
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Ann Hornaday,The Washington Post,US,1,1968,English
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Ann Hornaday,The Washington Post,US,1,1963,English
Boyhood,Richard Linklater,2014,Ann Hornaday,The Washington Post,US,1,1960,English
Lost in Translation,Sofia Coppola,2003,Ann Hornaday,The Washington Post,US,1,1971,English
Michael Clayton,Tony Gilroy,2007,Ann Hornaday,The Washington Post,US,1,1956,English
You Can Count on Me Me,Kenneth Lonergan,2000,Ann Hornaday,The Washington Post,US,1,1962,English
Finding Nemo,Andrew Stanton,2003,Ann Hornaday,The Washington Post,US,2,1965,English
Finding Nemo,Lee Unkrich,2003,Ann Hornaday,The Washington Post,US,2,1967,English
Wolff Von Amerongen: Did He Commit Bankruptcy Offences?,Gerhard Benedikt Friedl,2004,Alexander Horwath,Austrian Film Museum,Austria,1,1967,German
The Master,Paul Thomas Anderson,2012,Alexander Horwath,Austrian Film Museum,Austria,1,1970,English
Longing,Valeska Grisebach,2006,Alexander Horwath,Austrian Film Museum,Austria,1,1968,English
I’m Not There,Todd Haynes,2007,Alexander Horwath,Austrian Film Museum,Austria,1,1961,English
The External World,David O'Reilly,2010,Alexander Horwath,Austrian Film Museum,Austria,1,,English
Secret Sunshine,Lee Chang-dong,2007,Alexander Horwath,Austrian Film Museum,Austria,1,1954,Korean
Toni Erdmann,Maren Ade,2016,Alexander Horwath,Austrian Film Museum,Austria,1,1976,French
Platform,Jia Zhangke,2000,Alexander Horwath,Austrian Film Museum,Austria,1,,Spanish
The Holy Girl,Lucrecia Martel,2004,Alexander Horwath,Austrian Film Museum,Austria,1,1966,Spanish
Mosaik mécanique,Norbert Pfaffenbichler,2008,Alexander Horwath,Austrian Film Museum,Austria,1,,
Boyhood,Richard Linklater,2014,Peter Howell,The Toronto Star,Canada,1,1960,English
Holy Motors,Leos Carax,2012,Peter Howell,The Toronto Star,Canada,1,1960,French
The Tree of Life,Terrence Malick,2011,Peter Howell,The Toronto Star,Canada,1,1943,English
In the Mood for Love,Wong Kar-wai,2000,Peter Howell,The Toronto Star,Canada,1,1956,
Inside Llewyn Davis,Joel Coen,2013,Peter Howell,The Toronto Star,Canada,2,1954,English
Inside Llewyn Davis,Ethan Coen,2013,Peter Howell,The Toronto Star,Canada,2,1957,English
Certified Copy,Abbas Kiarostami,2010,Peter Howell,The Toronto Star,Canada,1,1940,French
Memento,Christopher Nolan,2000,Peter Howell,The Toronto Star,Canada,1,1970,English
Y Tu Mamá También,Alfonso Cuarón,2001,Peter Howell,The Toronto Star,Canada,1,1961,Spanish
Mulholland Drive,David Lynch,2001,Peter Howell,The Toronto Star,Canada,1,1946,English
A History of Violence,David Cronenberg,2005,Peter Howell,The Toronto Star,Canada,1,1943,English
Good Night and Good Luck,George Clooney,2005,Annette Insdorf,Columbia University,US,1,1961,English
Hugo,Martin Scorsese,2011,Annette Insdorf,Columbia University,US,1,1942,English
Ida,Paweł Pawlikowski,2013,Annette Insdorf,Columbia University,US,1,1957,Polish
A Separation,Asghar Farhadi,2011,Annette Insdorf,Columbia University,US,1,1972,Persian
Amour,Michael Haneke,2012,Annette Insdorf,Columbia University,US,1,1942,French
The Act of Killing,Joshua Oppenheimer,2012,Annette Insdorf,Columbia University,US,1,1974,Indonesian
Quills,Philip Kaufman,2000,Annette Insdorf,Columbia University,US,1,1936,English
The Sapphires,Wayne Blair,2012,Annette Insdorf,Columbia University,US,1,1971,English
Where Do We Go Now?,Nadine Labaki,2011,Annette Insdorf,Columbia University,US,1,1974,Arabic
Ajami,Scandar Copti,2009,Annette Insdorf,Columbia University,US,2,1975,Arabic
Ajami,Yaron Shani,2009,Annette Insdorf,Columbia University,US,2,1973,Arabic
The Dark Knight,Christopher Nolan,2008,Aysha Iqbal,Indian Institute of Technology,India,1,1970,English
Inception,Christopher Nolan,2010,Aysha Iqbal,Indian Institute of Technology,India,1,1970,English
Hero,Zhang Yimou,2002,Aysha Iqbal,Indian Institute of Technology,India,1,1951,Mandarin
Inglourious Basterds,Quentin Tarantino,2009,Aysha Iqbal,Indian Institute of Technology,India,1,1963,English
The Wolf of Wall Street,Martin Scorsese,2013,Aysha Iqbal,Indian Institute of Technology,India,1,1942,English
Chakde! India,Shimit Amin,2007,Aysha Iqbal,Indian Institute of Technology,India,1,,Hindi
In the Mood for Love,Wong Kar-wai,2000,Aysha Iqbal,Indian Institute of Technology,India,1,1956,
No Country For Old Men,Joel Coen,2007,Aysha Iqbal,Indian Institute of Technology,India,2,1954,English
No Country For Old Men,Ethan Coen,2007,Aysha Iqbal,Indian Institute of Technology,India,2,1957,English
Maqbool,Vishal Bhardwaj,2003,Aysha Iqbal,Indian Institute of Technology,India,1,1965,Hindi
The Lives of Others,Florian Henckel von Donnersmarck,2006,Aysha Iqbal,Indian Institute of Technology,India,1,1973,English
The Pianist,Roman Polanski,2002,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1933,English
Only Lovers Left Alive,Jim Jarmusch,2013,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1953,English
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1970,Thai
Leviathan,Andrey Zvyagintsev,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1964,English
Amélie,Jean-Pierre Jeunet,2001,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1953,French
Avatar,James Cameron,2009,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1954,English
The Tree of Life,Terrence Malick,2011,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1943,English
A Pigeon Sat on a Branch Reflecting on Existence,Roy Andersson,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1943,
Boyhood,Richard Linklater,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1960,English
Coming Home,Zhang Yimou,2014,Zhanna Issabayeva,Freelance film critic,Kazakhstan,1,1951,English
The Act of Killing,Joshua Oppenheimer,2012,Larushka Ivan-Zadeh,Metro,UK,1,1974,Indonesian
Caché,Michael Haneke,2005,Larushka Ivan-Zadeh,Metro,UK,1,1942,French
"Synecdoche, New York",Charlie Kaufman,2008,Larushka Ivan-Zadeh,Metro,UK,1,1958,English
Spirited Away,Hayao Miyazaki,2001,Larushka Ivan-Zadeh,Metro,UK,1,1941,Japanese
WALL-E,Andrew Stanton,2008,Larushka Ivan-Zadeh,Metro,UK,1,1965,English
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Larushka Ivan-Zadeh,Metro,UK,1,1970,Thai
Lost in Translation,Sofia Coppola,2003,Larushka Ivan-Zadeh,Metro,UK,1,1971,English
Talk to Her,Pedro Almodóvar,2002,Larushka Ivan-Zadeh,Metro,UK,1,1949,Spanish
The Wrestler,Darren Aronofsky,2008,Larushka Ivan-Zadeh,Metro,UK,1,1969,English
Boyhood,Richard Linklater,2014,Larushka Ivan-Zadeh,Metro,UK,1,1960,English
In the Mood for Love,Wong Kar-wai,2000,Nick James,Sight & Sound,UK,1,1956,
Caché,Michael Haneke,2005,Nick James,Sight & Sound,UK,1,1942,French
Yi Yi: A One and a Two,Edward Yang,2000,Nick James,Sight & Sound,UK,1,1947,Mandarin
Zero Dark Thirty,Kathryn Bigelow,2012,Nick James,Sight & Sound,UK,1,1951,English
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Nick James,Sight & Sound,UK,1,1959,English
White Material,Claire Denis,2009,Nick James,Sight & Sound,UK,1,1946,French
There Will Be Blood,Paul Thomas Anderson,2007,Nick James,Sight & Sound,UK,1,1970,English
The Look of Silence,Joshua Oppenheimer,2014,Nick James,Sight & Sound,UK,1,1974,Indonesian
The Turin Horse,Béla Tarr,2011,Nick James,Sight & Sound,UK,2,1955,Hungarian
The Turin Horse,Ágnes Hranitzky,2011,Nick James,Sight & Sound,UK,2,1945,Hungarian
The Great Beauty,Paolo Sorrentino,2013,Nick James,Sight & Sound,UK,1,1970,Italian
The Tree of Life,Terrence Malick,2011,David Jenkins,Little White Lies,UK,1,1943,English
Eden,Mia Hansen-Løve,2014,David Jenkins,Little White Lies,UK,1,1981,English
Punch-Drunk Love,Paul Thomas Anderson,2002,David Jenkins,Little White Lies,UK,1,1970,English
Ghost World,Terry Zwigoff,2001,David Jenkins,Little White Lies,UK,1,1949,English
Tabu,Miguel Gomes,2012,David Jenkins,Little White Lies,UK,1,1972,Portuguese
Wendy and Lucy,Kelly Reichardt,2008,David Jenkins,Little White Lies,UK,1,1964,English
The Headless Woman,Lucrecia Martel,2008,David Jenkins,Little White Lies,UK,1,1966,Spanish
Everyone Else,Maren Ade,2009,David Jenkins,Little White Lies,UK,1,1976,English
Millennium Mambo,Hou Hsiao-hsien,2001,David Jenkins,Little White Lies,UK,1,1947,English
In Vanda’s Room,Pedro Costa,2000,David Jenkins,Little White Lies,UK,1,1958,Portuguese
The Master,Paul Thomas Anderson,2012,Kent Jones,Film Comment,US,1,1970,English
The Tree of Life,Terrence Malick,2011,Kent Jones,Film Comment,US,1,1943,English
Zodiac,David Fincher,2007,Kent Jones,Film Comment,US,1,1962,English
Toni Erdmann,Maren Ade,2016,Kent Jones,Film Comment,US,1,1976,French
There Will Be Blood,Paul Thomas Anderson,2007,Kent Jones,Film Comment,US,1,1970,English
My Golden Days,Arnaud Desplechin,2015,Kent Jones,Film Comment,US,1,1960,French
Carlos,Olivier Assayas,2010,Kent Jones,Film Comment,US,1,1955,English
A Serious Man,Joel Coen,2009,Kent Jones,Film Comment,US,2,1954,English
A Serious Man,Ethan Coen,2009,Kent Jones,Film Comment,US,2,1957,English
Moonrise Kingdom,Wes Anderson,2012,Kent Jones,Film Comment,US,1,1969,English
The Son,Jean-Pierre Dardenne,2002,Kent Jones,Film Comment,US,2,1951,English
The Son,Luc Dardenne,2002,Kent Jones,Film Comment,US,2,1954,English
The Headless Woman,Lucrecia Martel,2008,Manuel Kalmanovitz,Revista Semana,Colombia,1,1966,Spanish
Spirited Away,Hayao Miyazaki,2001,Manuel Kalmanovitz,Revista Semana,Colombia,1,1941,Japanese
Mulholland Drive,David Lynch,2001,Manuel Kalmanovitz,Revista Semana,Colombia,1,1946,English
Sumas y Restas,Víctor Gaviria,2004,Manuel Kalmanovitz,Revista Semana,Colombia,1,1955,Spanish
Inside Out,Pete Docter,2015,Manuel Kalmanovitz,Revista Semana,Colombia,1,1968,English
The Gleaners and I,Agnès Varda,2000,Manuel Kalmanovitz,Revista Semana,Colombia,1,1928,
The Return,Andrey Zvyagintsev,2003,Manuel Kalmanovitz,Revista Semana,Colombia,1,1964,English
Regular Lovers,Philippe Garrel,2005,Manuel Kalmanovitz,Revista Semana,Colombia,1,1948,French
Under the Skin,Jonathan Glazer,2013,Manuel Kalmanovitz,Revista Semana,Colombia,1,1965,English
The Days When I Do Not Exist,Jean-Charles Fitoussi,2002,Manuel Kalmanovitz,Revista Semana,Colombia,1,1970,French
The Tree of Life,Terrence Malick,2011,Dominik Kamalzadeh,Der Standard,Austria,1,1943,English
Holy Motors,Leos Carax,2012,Dominik Kamalzadeh,Der Standard,Austria,1,1960,French
Tabu,Miguel Gomes,2012,Dominik Kamalzadeh,Der Standard,Austria,1,1972,Portuguese
A History of Violence,David Cronenberg,2005,Dominik Kamalzadeh,Der Standard,Austria,1,1943,English
Tropical Malady,Apichatpong Weerasethakul,2004,Dominik Kamalzadeh,Der Standard,Austria,1,1970,Thai
The Death of Mr Lazarescu,Cristi Puiu,2005,Dominik Kamalzadeh,Der Standard,Austria,1,1967,Romanian
Phoenix,Christian Petzold,2014,Dominik Kamalzadeh,Der Standard,Austria,1,1960,English
Platform,Jia Zhangke,2000,Dominik Kamalzadeh,Der Standard,Austria,1,,Spanish
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,Jonas Mekas,2000,Dominik Kamalzadeh,Der Standard,Austria,1,1922,English
Secret Sunshine,Lee Chang-dong,2007,Dominik Kamalzadeh,Der Standard,Austria,1,1954,Korean
Lost in Translation,Sofia Coppola,2003,Dave Karger,Freelance,US,1,1971,English
Silver Linings Playbook,David O. Russell,2012,Dave Karger,Freelance,US,1,1958,English
Brooklyn,John Crowley,2015,Dave Karger,Freelance,US,1,1969,English
Michael Clayton,Tony Gilroy,2007,Dave Karger,Freelance,US,1,1956,English
Blue Valentine,Derek Cianfrance,2010,Dave Karger,Freelance,US,1,1974,English
Amélie,Jean-Pierre Jeunet,2001,Dave Karger,Freelance,US,1,1953,French
The Artist,Michel Hazanavicius,2011,Dave Karger,Freelance,US,1,1967,English
The King’s Speech,Tom Hooper,2010,Dave Karger,Freelance,US,1,1972,English
Vera Drake,Mike Leigh,2004,Dave Karger,Freelance,US,1,1943,English
Wild,Jean-Marc Vallée,2014,Dave Karger,Freelance,US,1,1963,English
Theeb,Naji Abou Nowar,2014,Butheina Kazim,Cinema Akil,UAE,1,,Arabic
A Time for Drunken Horses,Bahman Ghobadi,2000,Butheina Kazim,Cinema Akil,UAE,1,1969,Kurdish
Oldboy,Park Chan-wook,2003,Butheina Kazim,Cinema Akil,UAE,1,1963,Korean
Wild Tales,Damián Szifrón,2014,Butheina Kazim,Cinema Akil,UAE,1,1975,Spanish
